source_id,target_id,rel_type,next_label,source_document
sra_s6_q7_o1,sra_s6_q12,LEADS_TO,Q12,DTOP-OLD
sra_s6_q7_o2,sra_s6_q8,LEADS_TO,Q8,DTOP-OLD
sra_s6_q7_o3,sra_s6_q8,LEADS_TO,Q8,DTOP-OLD
sra_s6_q8_o1,sra_s6_q9,LEADS_TO,Q9,DTOP-OLD
sra_s6_q8_o2,sra_s6_q9,LEADS_TO,Q9,DTOP-OLD
sra_s6_q8_o3,sra_s6_q9,LEADS_TO,Q9,DTOP-OLD
sra_s6_q9_o1,sra_s6_q10,LEADS_TO,Q10,DTOP-OLD
sra_s6_q9_o2,sra_s6_q10,LEADS_TO,Q10,DTOP-OLD
sra_s6_q9_o3,sra_s6_q10,LEADS_TO,Q10,DTOP-OLD
sra_s6_q10_o1,sra_s6_q11,LEADS_TO,Q11,DTOP-OLD
sra_s6_q10_o2,sra_s6_q11,LEADS_TO,Q11,DTOP-OLD
sra_s6_q11_o1,sra_s6_q12,LEADS_TO,Q12,DTOP-OLD
sra_s6_q11_o2,sra_s6_q12,LEADS_TO,Q12,DTOP-OLD
sra_s6_q11_o3,sra_s6_q12,LEADS_TO,Q12,DTOP-OLD
sra_s6_q11_o4,sra_s6_q12,LEADS_TO,Q12,DTOP-OLD
sra_s6_q12_o1,sra_s6_q13,LEADS_TO,Q13,DTOP-OLD
sra_s6_q12_o2,sra_s6_q13,LEADS_TO,Q13,DTOP-OLD
sra_s6_q12_o3,sra_s6_q13,LEADS_TO,Q13,DTOP-OLD
sra_s6_q13_o1,sra_s6_q14,LEADS_TO,Q14,DTOP-OLD
sra_s6_q13_o2,sra_s6_q14,LEADS_TO,Q14,DTOP-OLD
sra_s6_q13_o3,sra_s6_q14,LEADS_TO,Q14,DTOP-OLD
sra_s6_q14_o1,sra_s6_q15,LEADS_TO,Q15,DTOP-OLD
sra_s6_q14_o2,sra_s6_q15,LEADS_TO,Q15,DTOP-OLD
